"","Sex","Best3SquatKg","Best3BenchKg","Best3DeadliftKg","TotalKg"
"16321","M",255,132.5,287.5,675
"16322","F",85,45,120,250
"16323","M",250,130,237.5,617.5
"16324","F",152.5,75,157.5,385
"16325","M",131.54,74.84,115.67,322.05
"16326","M",192.5,147.5,245,585
"16327","F",200,87.5,180,467.5
"16328","M",158.76,124.74,188.24,471.74
"16329","M",182.5,137.5,235,555
"16330","M",167.5,110,185,462.5
"16331","F",75,57.5,97.5,230
"16332","M",110,70,127.5,307.5
"16333","M",350,180,282.5,812.5
"16334","F",52.5,52.5,80,185
"16335","M",160,95,180,435
"16336","F",100,52.5,105,257.5
"16337","F",120.2,56.7,99.79,276.69
"16338","F",165,90,150,405
"16339","M",205,130,215,550
"16340","M",127.5,92.5,155,375
"16341","F",152.5,65,160,377.5
"16342","M",140,127.5,195,462.5
"16343","F",162.5,92.5,157.5,412.5
"16344","F",205,115,227.5,547.5
"16345","M",165,112.5,170,447.5
"16346","M",190,120,207.5,517.5
"16347","M",222.5,182.5,232.5,637.5
"16348","F",115,67.5,120,302.5
"16349","M",235,122.5,215,572.5
"16350","M",226.8,145.15,215.46,587.4
"16351","F",115,45,127.5,287.5
"16352","F",85,50,105,240
"16353","F",105,57.5,130,292.5
"16354","M",182.5,85,195,462.5
"16355","M",237.5,132.5,265,635
"16356","M",102.5,100,127.5,330
"16357","F",130,77.5,170,377.5
"16358","M",160,117.5,227.5,505
"16359","F",127.5,57.5,145,330
"16360","M",140,90,147.5,377.5
"16361","M",125,200,125,450
"16362","M",225,125,220,570
"16363","F",137.5,55,127.5,320
"16364","F",112.5,78,172.5,363
"16365","M",335,312.5,275,922.5
"16366","M",315,180,325,820
"16367","M",50,45,80,175
"16368","M",265,160,220,645
"16369","F",170,90,170,430
"16370","M",210,130,207.5,547.5
"16371","M",120,115,165,400
"16372","F",155,85,187.5,427.5
"16373","M",215,140,250,605
"16374","M",190,120,245,555
"16375","F",82.5,55,102.5,240
"16376","M",167.5,107.5,200,475
"16377","M",140,80,140,360
"16378","M",102.5,122.5,152.5,377.5
"16379","M",282.5,212.5,327.5,822.5
"16380","M",120,200,210,530
"16381","M",132.5,72.5,142.5,347.5
"16382","F",130,92.5,160,382.5
"16383","M",182.5,120,210,512.5
"16384","M",170,100,160,430
"16385","M",200,157.5,240,597.5
"16386","F",67.5,55,82.5,205
"16387","M",100,72.5,137.5,310
"16388","F",130,80,142.5,352.5
"16389","M",157.5,117.5,192.5,467.5
"16390","M",270,200,260,730
"16391","F",137.5,75,160,372.5
"16392","F",137.5,67.5,160,365
"16393","M",117.5,100,177.5,395
"16394","M",120,70,130,320
"16395","M",217.72,122.47,197.31,537.51
"16396","M",245,187.5,282.5,715
"16397","F",100,67.5,135,302.5
"16398","F",55,42.5,100,197.5
"16399","F",160,75,160,395
"16400","M",180,130,210,520
"16401","M",270,207.5,332.5,810
"16402","M",255,185,260,700
"16403","M",187.5,138,235,560.5
"16404","M",156,117.5,175,448.5
"16405","M",157.5,117.5,202.5,477.5
"16406","M",137.5,110,185,432.5
"16407","F",165,102.5,190,457.5
"16408","M",308.44,195.04,222.26,725.75
"16409","M",400,272.5,357.5,1030
"16410","F",105,52.5,130,287.5
"16411","M",202,144,247,593
"16412","M",195.04,142.88,233.6,571.53
"16413","M",245,137.5,240,622.5
"16414","F",165,100,162.5,427.5
"16415","M",175,132.5,202.5,510
"16416","M",390,267.5,282.5,940
"16417","M",240,160,235,635
"16418","M",226.8,136.08,254.01,616.89
"16419","M",295,182.5,290,767.5
"16420","M",200,130,230,560
"16421","F",115,62.5,132.5,310
"16422","F",85,50,100,235
"16423","M",255,195,270,720
"16424","M",202.5,130,245,577.5
"16425","F",92.5,55,135,282.5
"16426","M",330,230,270,830
"16427","M",282.5,175,277.5,735
"16428","M",307.5,182.5,255,745
"16429","F",87.5,42.5,110,240
"16430","M",182.5,115,187.5,485
"16431","M",192.5,110,220,522.5
"16432","M",232.5,155,260,647.5
"16433","F",170,95,190,455
"16434","M",155,125,217.5,497.5
"16435","M",280,225,335,840
"16436","F",122.5,105,142.5,370
"16437","M",165.56,102.06,210.92,478.54
"16438","M",165,105,180,450
"16439","M",170,117.5,220,507.5
"16440","M",220,150,230,600
"16441","F",210,90,197.5,497.5
"16442","M",125,100,172.5,397.5
"16443","M",220,142.5,252.5,615
"16444","M",225,142.5,225,592.5
"16445","M",195,170,250,615
"16446","M",235,175,267.5,677.5
"16447","F",165,70,182.5,417.5
"16448","F",160,92.5,170,422.5
"16449","F",100,50,110,260
"16450","M",245,170,280,695
"16451","M",202.5,137.5,220,560
"16452","M",185,130,220,535
"16453","M",227.5,155,225,607.5
"16454","F",137.5,60,147.5,345
"16455","M",205,165,232.5,602.5
"16456","F",137.5,67.5,167.5,372.49
"16457","M",140,67.5,162.5,370
"16458","M",195,110,200,505
"16459","M",195,135,215,545
"16460","F",177.5,102.5,185,465
"16461","M",357.5,177.5,317.5,852.5
"16462","M",307.5,182.5,342.5,832.5
"16463","M",260,167.5,282.5,710
"16464","M",200,145,227.5,572.5
"16465","M",292.5,190,317.5,800
"16466","M",300,175,292.5,767.5
"16467","M",212.5,127.5,220,560
"16468","M",185,122.5,222.5,530
"16469","M",207.5,182.5,242.5,632.5
"16470","M",180,130,190,500
"16471","F",132.5,67.5,127.5,327.5
"16472","M",167.5,115,185,467.5
"16473","M",250,140,250,640
"16474","F",90,37.5,85,212.5
"16475","M",161.03,99.79,183.7,444.52
"16476","F",65,35,87.5,187.5
"16477","M",270,120,301,691
"16478","M",192.5,112.5,230,535
"16479","M",185,100,170,455
"16480","M",225,172.5,210,607.5
"16481","F",130,80,177.5,387.5
"16482","M",174,162,236,572
"16483","F",90,47.5,110,247.5
"16484","F",117.5,52.5,142.5,312.5
"16485","M",227.5,122.5,245,595
"16486","M",210,135,232.5,577.5
"16487","M",165,120,215,500
"16488","M",130,70,180,380
"16489","F",67.5,55,105,227.5
"16490","M",161.03,133.81,213.19,508.02
"16491","M",202.5,127.5,195,525
"16492","M",215,140,240,595
"16493","F",102.5,50,115,267.5
"16494","M",200,122.5,222.5,545
"16495","M",312.5,152.5,292.5,757.5
"16496","M",105,70,110,285
"16497","M",197.5,162.5,202.5,562.5
"16498","M",167.83,115.67,229.06,512.56
"16499","M",190,152.5,220,562.5
"16500","M",197.31,136.08,244.94,578.33
"16501","F",175,92.5,142.5,410
"16502","M",217.5,140,210,567.5
"16503","M",200,115,180,495
"16504","M",205,112.5,210,527.5
"16505","M",160,90,190,440
"16506","M",135,100,182.5,417.5
"16507","M",217.5,162.5,250,630
"16508","M",215.46,156.49,247.21,619.15
"16509","F",192.5,125,170,487.5
"16510","M",147.5,155,177.5,480
"16511","M",150,82.5,150,382.5
"16512","F",85,52.5,137.5,275
"16513","F",231,100,209,540
"16514","M",225,190,250,665
"16515","M",237.5,135,241.2,613.7
"16516","F",125,77.5,142.5,345
"16517","M",130,85,170,385
"16518","M",310,190,330,830
"16519","F",175,90,160,425
"16520","M",240,152.5,300,692.5
"16521","M",305,197.5,340.5,843
"16522","M",197.5,122.5,230,550
"16523","M",195,127.5,190,512.5
"16524","F",130,75,120,325
"16525","F",145,100,142.5,387.5
"16526","M",175,185,200,560
"16527","F",182.5,77.5,177.5,437.5
"16528","M",150,160,245,555
"16529","M",160,95,190,445
"16530","M",282.5,155,300,737.5
"16531","M",197.5,110,200,507.5
"16532","M",300,225,265,790
"16533","M",136.08,70.31,147.42,353.8
"16534","M",287.5,165,332.5,785
"16535","F",72.5,32.5,107.5,212.5
"16536","F",110,62.5,160,332.5
"16537","M",212.5,115,215,542.5
"16538","M",132.5,90,147.5,370
"16539","F",210,95,162.5,467.5
"16540","M",320,190,260,770
"16541","F",80,55,122.5,257.5
"16542","M",150,107.5,185,442.5
"16543","M",130,85,170,385
"16544","F",65,42.5,97.5,205
"16545","M",210,157.5,250,617.5
"16546","M",308.44,170.1,292.57,771.11
"16547","F",117.5,52.5,150,320
"16548","F",187.5,112.5,177.5,477.5
"16549","F",230,137.5,207.5,575
"16550","M",255,152.5,320,727.5
"16551","M",150,95,177.5,422.5
"16552","F",135,60,130,325
"16553","M",145,115,205,465
"16554","F",215,122.5,167.5,505
"16555","M",290,162.5,307.5,760
"16556","M",190,115,205,510
"16557","M",160,110,165,435
"16558","M",167.5,247.5,247.5,662.5
"16559","M",235,147.5,272.5,655
"16560","F",127.5,80,162.5,370
"16561","F",137.5,70,150,357.5
"16562","M",150,130,215,495
"16563","M",125,97.5,165,387.5
"16564","M",210,105,225,540
"16565","M",195,112.5,240,547.5
"16566","M",232.5,142.5,210,585
"16567","M",147.4,102.1,170.1,419.6
"16568","M",155,120,182.5,457.5
"16569","M",190,130,210,530
"16570","M",152.5,142.5,192.5,487.5
"16571","M",195,120,235,550
"16572","F",127.5,70,147.5,345
"16573","M",205,120,195,520
"16574","M",245,142.5,260,647.5
"16575","F",120,71,147,338
"16576","F",120,95,145,360
"16577","F",155,82.5,155,392.5
"16578","M",292.5,175,265,732.5
"16579","M",217.5,120,230,567.5
"16580","F",125,72.5,162.5,360
"16581","F",75,45,95,215
"16582","M",195,145,230,570
"16583","M",295,250,305,850
"16584","M",272.5,155,300,727.5
"16585","M",282.5,190,282.5,755
"16586","M",177.5,120,200,497.5
"16587","M",272.5,157.5,295,725
"16588","M",240,155,270,665
"16589","F",145.15,72.57,129.27,347
"16590","M",294.84,190.51,310.71,796.05
"16591","M",195,140,240,575
"16592","F",85,45,105,235
"16593","F",85,37.5,107.5,230
"16594","M",250,162.5,250,662.5
"16595","M",157.5,105,170,432.5
"16596","M",340,260,307.5,907.5
"16597","F",130,72.5,150,352.5
"16598","M",272.5,200,310,782.5
"16599","F",167.5,82.5,140,390
"16600","M",150,110,190,450
"16601","F",125,67.5,140,332.5
"16602","M",152.5,107.5,180,440
"16603","M",202.5,102.5,195,500
"16604","M",197.5,132.5,230,560
"16605","M",80,137.5,260,477.5
"16606","F",190.51,99.79,179.17,469.47
"16607","M",325,250,250,825
"16608","M",180,120,202.5,502.5
"16609","M",182.5,135,200,517.5
"16610","M",170,100,217.5,487.5
"16611","M",120,72.5,127.5,320
"16612","M",280,205,260,745
"16613","M",185,123,242.5,550.5
"16614","M",215,170,250,635
"16615","M",176.9,122.47,199.58,498.95
"16616","F",110,65,135,310
"16617","F",82.5,42.5,112.5,237.5
"16618","F",152.5,77.5,150,380
"16619","M",242.5,165,147.5,555
"16620","M",215,137.5,215,567.5
"16621","M",160,115,230,505
"16622","M",255,162.5,312.5,730
"16623","M",180,160,215,555
"16624","M",156,102,184,442
"16625","M",142.5,117.5,150,410
"16626","M",165.56,104.33,190.51,460.4
"16627","M",145,90,180,415
"16628","M",190,132.5,230,552.5
"16629","M",217.5,140,240,597.5
"16630","F",142.5,75,155,372.5
"16631","M",182.5,145,185,512.5
"16632","M",235,150,300,685
"16633","M",300,215,230,745
"16634","M",232.5,150,227.5,610
"16635","M",177.5,100,210,487.5
"16636","F",205,105,200,510
"16637","M",190,125,200,515
"16638","M",202.5,142.5,215,560
"16639","M",372.5,255,355,982.5
"16640","M",102.06,61.23,127.01,290.3
"16641","F",181.44,81.65,170.1,433.18
"16642","M",70,60,130,260
"16643","M",145,85,205,435
"16644","M",140,97.5,165,402.5
"16645","M",245,150,262.5,657.5
"16646","F",87.5,60,110,257.5
"16647","F",80,65,127.5,272.5
"16648","M",170,100,197.5,467.5
"16649","M",172.5,142.5,225,540
"16650","F",105,70,117.5,292.5
"16651","M",250,150,280,680
"16652","M",160,110,185,455
"16653","M",210,130,240,580
"16654","M",187.5,75,190,452.5
"16655","F",115,57.5,140,312.5
"16656","M",165,87.5,185,437.5
"16657","M",160,110,180,450
"16658","M",175,135,220,530
"16659","F",122.5,70,137.5,330
"16660","M",235,137.5,240,612.5
"16661","M",147.5,105,205,457.5
"16662","F",95,50,132.5,277.5
"16663","M",340,230,320,890
"16664","F",100,80,100,280
"16665","F",62.5,45,112.5,220
"16666","M",206,129,216,551
"16667","M",365,242.5,337.5,945
"16668","M",212.5,132.5,250,595
"16669","F",147.5,95,165,407.5
"16670","F",147.5,70,175,392.5
"16671","F",85,47.5,95,227.5
"16672","M",185,107.5,207.5,500
"16673","F",102.5,57.5,127.5,287.5
"16674","F",92.5,52.5,140,285
"16675","M",215,155,230,600
"16676","M",267.5,107.5,245,620
"16677","F",100,70,120,290
"16678","M",242.5,182.5,272.5,697.5
"16679","M",127.5,102.5,182.5,412.5
"16680","M",182.5,142.5,200,525
"16681","M",90,75,120,285
"16682","M",187.5,155,195,537.5
"16683","M",260,160,207.5,627.5
"16684","M",192.5,147.5,242.5,582.5
"16685","M",75,72.5,160,307.5
"16686","M",205,120,210,535
"16687","F",167.5,100,152.5,420
"16688","F",62.5,57.5,110,230
"16689","M",320,225,330,875
"16690","M",240,140,282.5,662.5
"16691","F",117.5,57.5,145,320
"16692","F",112.5,70,160,342.5
"16693","F",117.5,60,110,287.5
"16694","F",100,65,127.5,292.5
"16695","F",264,150,210,624
"16696","M",172.5,105,210,487.5
"16697","M",225,127.5,250,602.5
"16698","F",70,37.5,105,212.5
"16699","F",115,70,160,345
"16700","M",275,197.5,227.5,700
"16701","M",285,172.5,290,747.5
"16702","M",105,80,165,350
"16703","M",290,180,290,760
"16704","F",128,69,137,334
"16705","M",262.5,155,270,687.5
"16706","M",260,180,250,690
"16707","F",157.5,92.5,180,430
"16708","M",182.5,125,227.5,535
"16709","M",262.5,150,360,772.5
"16710","M",302.5,180,257.5,740
"16711","M",240,130,240,610
"16712","F",140,97.5,197.5,435
"16713","F",97.5,50,130,277.5
"16714","F",127.5,87.5,160,375
"16715","M",70,40,70,180
"16716","M",237.5,155,247.5,640
"16717","M",250,162.5,225,637.5
"16718","F",100,50,138.5,288.5
"16719","M",167.5,120,200,487.5
"16720","F",105,77.5,127.5,310
"16721","F",112.5,52.5,138,303
"16722","M",87.5,67.5,145,300
"16723","M",207.5,140,210,557.5
"16724","M",275,165,247.5,687.5
"16725","F",155,87.5,187.5,430
"16726","M",195,125,220,540
"16727","M",240,150,280,670
"16728","M",252.5,180,275,707.5
"16729","M",255,152.5,265,672.5
"16730","M",192.5,127.5,197.5,517.5
"16731","M",185,137.5,232.5,555
"16732","M",240,152.5,272.5,665
"16733","M",167.5,120,212.5,500
"16734","M",85,60,110,255
"16735","M",250,165,260,675
"16736","M",250,200,250,700
"16737","M",170,95,175,440
"16738","M",165,100,185,450
"16739","F",95,67.5,132.5,295
"16740","M",162.5,105,182.5,450
"16741","M",195,120,230,545
"16742","M",220,170,275,665
"16743","M",200,148.5,233,581.5
"16744","F",142.5,57.5,152.5,352.5
"16745","F",150,72.5,197.5,420
"16746","M",247.66,182.34,272.61,702.61
"16747","M",237.5,140,285,662.5
"16748","M",280,167.5,315,762.5
"16749","M",195.04,142.43,222.71,560.19
"16750","M",192.5,110,212.5,515
"16751","M",202.5,105,222.5,530
"16752","F",127.5,60,150,337.5
"16753","F",100,50,122.5,272.5
"16754","M",250,162.5,240,652
"16755","F",127.5,75,157.5,360
"16756","M",195.04,113.4,219.99,528.44
"16757","M",127.5,92.5,170,390
"16758","M",182.5,137.5,255,575
"16759","F",112.5,62.5,120,295
"16760","M",170,117.5,232.5,520
"16761","M",226.8,158.76,219.99,605.55
"16762","M",185,130,247.5,562.5
"16763","M",138.35,81.65,145.15,365.14
"16764","F",112.5,65,127.5,305
"16765","M",250,182.5,250,682.5
"16766","M",240,177.5,232.5,650
"16767","F",65,40,90,195
"16768","M",170,105,200,475
"16769","M",147.4,138.35,167.83,453.59
"16770","M",170,132.5,227.5,530
"16771","M",142.5,110,170,422.5
"16772","M",165,122.5,212.5,500
"16773","M",138.35,70.31,181.44,390.09
"16774","M",167.5,135,227.5,530
"16775","M",158.76,108.86,190.51,458.13
"16776","M",270,162.5,315,747.5
"16777","M",202.5,142.5,247,592
"16778","M",150,137.5,172.5,460
"16779","M",237.5,147.5,318.5,703.5
"16780","M",125,145,150,420
"16781","F",145,82.5,182.5,410
"16782","M",240,160,240,640
"16783","M",260,210,300,770
"16784","M",207.5,135,230,572.5
"16785","M",220,193,235,647.5
"16786","M",135,127.5,160,422.5
"16787","M",140,112.5,182.5,435
"16788","M",175,115,200,490
"16789","M",105,67.5,142.5,315
"16790","F",142.5,70,152.5,365
"16791","M",350,260,305,915
"16792","M",277.5,242.5,257.5,777.5
"16793","M",130,135,170,435
"16794","M",227.5,117.5,250,595
"16795","M",185,125,210,520
"16796","F",90,47.5,100,237.5
"16797","M",275,185,235,695
"16798","M",215,137.5,272.5,625
"16799","M",381.02,217.72,283.5,882.24
"16800","M",210,135,220,565
"16801","M",225,180,225,630
"16802","M",290,210,277.5,777.5
"16803","M",150,92.5,205,447.5
"16804","M",97.5,58,109,264.5
"16805","F",100,50,127.5,277.5
"16806","M",205,115,270,590
"16807","F",85,47.5,130,262.5
"16808","F",161,88,205,454
"16809","M",100,60,125,285
"16810","F",132.5,80,152.5,365
"16811","F",120,93,160,373
"16812","F",105,60,117.5,282.5
"16813","M",295,170,272.5,737.5
"16814","M",215.46,138.35,224.53,578.33
"16815","M",255,180,275,710
"16816","M",232.5,152.5,257.5,642.5
"16817","M",327.5,242.5,292.5,862.5
"16818","M",300,155,300,755
"16819","F",137.5,100,150,387.5
"16820","M",195,127.5,222.5,545
"16821","M",305,180,367.5,852.5
"16822","M",197.5,120,247.5,565
"16823","M",135,95,155,385
"16824","M",237.5,167.5,232.5,637.5
"16825","M",187.5,130,220,537.5
"16826","F",100,50,110,260
"16827","F",87.5,58,127.5,273
"16828","M",255,157.5,325,737.5
"16829","M",162.5,107.5,185,455
"16830","M",195,152.5,235,582.5
"16831","M",115,77.5,142.5,335
"16832","M",260,170,225,655
"16833","F",102.5,52.5,130,285
"16834","M",152.5,100,200,452.5
"16835","M",220,147.5,222.5,590
"16836","M",147.5,82.5,205,435
"16837","F",115,55,130,300
"16838","M",249.48,183.71,226.8,659.98
"16839","M",190,110,262.5,562.5
"16840","F",102.5,57.5,120,280
"16841","M",245,165,275,685
"16842","F",120,75,140,335
"16843","F",167.5,107.5,155,430
"16844","M",170,85,180,435
"16845","M",275,190,255,720
"16846","F",170,92.5,180,442.5
"16847","F",77.5,50,115,242.5
"16848","M",220,137.5,277.5,635
"16849","M",215,155,245,615
"16850","M",272.5,180,267.5,720
"16851","M",167.5,112.5,195,475
"16852","F",90,70,120,280
"16853","M",112.5,75,145,332.5
"16854","M",185,120,200,505
"16855","F",142.5,95,162.5,400
"16856","M",145,95,172.5,412.5
"16857","M",175,115,227.5,517.5
"16858","F",217.5,143.5,227.5,588.5
"16859","M",247.5,177.5,250,675
"16860","F",125,62.5,127.5,315
"16861","M",152.5,97.5,185,435
"16862","M",220,195,290,705
"16863","M",230,172.5,232.5,635
"16864","M",327.5,215,302.5,845
"16865","M",167.5,97.5,220,485
"16866","M",100,77.5,120,297.5
"16867","F",70,30,100,200
"16868","M",240,175,285,700
"16869","M",270,172.5,282.5,725
"16870","F",175,70,150,395
"16871","M",255,155,265,675
"16872","M",241,167,232,640
"16873","M",230,150,257.5,637.5
"16874","M",225,125,245,595
"16875","F",124.74,70.31,145.15,340.19
"16876","M",140,90,175,405
"16877","M",110,100,165,375
"16878","F",120,65,125,310
"16879","F",167.5,85,177.5,430
"16880","M",227.5,157.5,290.5,675.5
"16881","M",227.5,135,257.5,620
"16882","M",230,150,300,680
"16883","M",260,145,270,675
"16884","F",100,47.5,110,257.5
"16885","M",187.5,127.5,222.5,537.5
"16886","M",282.5,187.5,182.5,652.5
"16887","F",97.5,45,100,242.5
"16888","F",125,57.5,142.5,325
"16889","M",152.5,122.5,197.5,472.5
"16890","M",155,130,200,485
"16891","F",110,50,125,285
"16892","M",280,175,260,715
"16893","F",185,97.5,185,467.5
"16894","M",275,215.5,232.5,723
"16895","M",265,197.5,275,737.5
"16896","M",280,150,275,705
"16897","M",150,137.5,220,507.5
"16898","M",240,155,282.5,677.5
"16899","M",315,202.5,340,857.5
"16900","M",172.5,97.5,182.5,452.5
"16901","M",185,122.5,250,557.5
"16902","M",155,107.5,190,452.5
"16903","M",135,90,155,380
"16904","M",250,177.5,280,707.5
"16905","F",90,45,107.5,242.5
"16906","M",152.5,105,200,457.5
"16907","M",227.5,182.5,250,660
"16908","F",165,77.5,167.5,410
"16909","M",302.5,180,307.5,790
"16910","M",217.5,155,260,632.5
"16911","M",130,70,175,375
"16912","F",242.5,180,207.5,630
"16913","M",185,100,247.5,532.5
"16914","F",110,55,115,280
"16915","M",210,120,227.5,557.5
"16916","F",124.74,72.57,117.93,315.25
"16917","F",100,55,120,275
"16918","M",180,117.5,225,522.5
"16919","M",165,125,157.5,447.5
"16920","M",150,87.5,162.5,400
"16921","M",140,130,165,435
"16922","M",250,182.5,287.5,720
"16923","M",270,177.5,265,712.5
"16924","F",88,45,118,251
"16925","F",145,75,162.5,382.5
"16926","M",200,140,237.5,577.5
"16927","M",220,105,240,565
"16928","M",200,175,260,635
"16929","M",102.5,85,152.5,340
"16930","M",294.84,204.12,294.84,793.79
"16931","M",222.5,117.5,265,605
"16932","F",160,95,170,425
"16933","M",215,140,247.5,602.5
"16934","M",200,120,212.5,532.5
"16935","F",172.5,82.5,192.5,447.5
"16936","M",210,147.5,262.5,620
"16937","M",235,190,265,690
"16938","M",260,150,250,660
"16939","M",230,162.5,250,642.5
"16940","M",165,127.5,227.5,520
"16941","F",132.5,80,172.5,385
"16942","M",192.5,115,220,527.5
"16943","M",205,137.5,270,612.5
"16944","F",152.5,77.5,155,385
"16945","M",105,120,152.5,377.5
"16946","M",220,130,225,575
"16947","M",305,185,330,820
"16948","F",75,42.5,95,212.5
"16949","M",265,160,230,655
"16950","F",112.5,42.5,140,295
"16951","M",302.5,207.5,242.5,752.5
"16952","M",227.5,120,207.5,555
"16953","M",330,195,295,820
"16954","M",80,60,100,240
"16955","M",130,95,160,385
"16956","M",220,167.5,205,592.5
"16957","M",160,115,207.5,482.5
"16958","M",185,150,210,545
"16959","F",160,107.5,190,457.5
"16960","M",167.5,125,267.5,560
"16961","M",235,130,247.5,612.5
"16962","M",225,160,240,625
"16963","M",157.5,120,195,472.5
"16964","M",210,150,250,610
"16965","F",73,55,123,251
"16966","M",175,142.5,212.5,530
"16967","M",220,132.5,240,592.5
"16968","M",245,147.5,227.5,620
"16969","F",187.5,117.5,160,465
"16970","M",205,120,230,555
"16971","M",280,135,252.5,667.5
"16972","M",135,105,200,440
"16973","M",250,177.5,220,647.5
"16974","M",225,130,245,600
"16975","M",160,120,185,465
"16976","F",130,72.5,145,347.5
"16977","F",142.5,85,170,397.5
"16978","M",260,170,260,690
"16979","F",122.5,57.5,140,320
"16980","F",115,67.5,145,327.5
"16981","F",80,32.5,110,222.5
"16982","M",140,80,160,380
"16983","F",120,72.5,155,347.5
"16984","M",210,142.5,260,612.5
"16985","F",120,67.5,132.5,320
"16986","M",200,160,190,550
"16987","F",158.76,83.91,181.44,424.11
"16988","M",255,165,275,695
"16989","F",105,65,125,295
"16990","F",112.5,62.5,127.5,302.5
"16991","M",60,35,72.5,167.5
"16992","F",140,75,140,355
"16993","F",112.5,35,115,262.5
"16994","F",127.5,60,147.5,335
"16995","F",92.5,82.5,140,315
"16996","M",180,122.5,210,512.5
"16997","F",155,72.5,180,407.5
"16998","M",187.5,150,215,552.5
"16999","M",207.5,130,195,532.5
"17000","M",185,170,247.5,602.5
"17001","M",282.5,192.5,310,785
"17002","M",254.01,167.83,256.28,678.12
"17003","M",230,197.5,222.5,650
"17004","F",137.5,65,142.5,345
"17005","M",142.5,80,170,392.5
"17006","F",120,80,97.5,297.5
"17007","M",267.5,170,267.5,705
"17008","M",163.29,145.15,190.51,498.95
"17009","M",25,25,25,75
"17010","M",167.5,115,192.5,475
"17011","M",365,235,285,885
"17012","F",112.5,60,145,317.5
"17013","F",190,105,170,465
"17014","M",375,245,382.5,1002.5
"17015","F",102.5,60,125,287.5
"17016","M",307.5,210,297.5,815
"17017","M",200,120,222.5,542.5
"17018","M",215,170,230,615
"17019","M",205,125,222.5,552.5
"17020","M",210,150,225,585
"17021","M",170,127.5,235,532.5
"17022","M",172.5,145,195,512.5
"17023","M",230,170,210,610
"17024","F",105,55,145,305
"17025","M",310,205,285,800
"17026","F",137.5,75,170,382.5
"17027","M",220,145,257.5,622.5
"17028","M",192.5,115,240,547.5
"17029","F",105,60,135,300
"17030","M",155,87.5,175,417.5
"17031","F",155,77.5,190,422.5
"17032","M",185,122.5,225,532.5
"17033","M",192.5,160,230,582.5
"17034","M",192.5,152.5,227.5,572.5
"17035","F",104.33,40.82,106.59,251.74
"17036","M",155,85,220,460
"17037","M",340.19,215.46,294.84,850.49
"17038","M",162.5,132.5,212.5,507.5
"17039","M",320,202.5,287.5,810
"17040","M",125,77.5,200,402.5
"17041","F",127.5,65,137.5,330
"17042","F",115,72.5,137.5,325
"17043","F",115,65,142.5,322.5
"17044","M",275,190,255,720
"17045","M",187.5,117.5,180,485
"17046","F",97.5,65,125,287.5
"17047","M",237.5,140,247.5,625
"17048","M",444.52,303.91,351.53,1099.96
"17049","M",272.5,165,255,692.5
"17050","F",155,75,155,385
"17051","M",217.72,138.35,272.16,628.23
"17052","M",215,137.5,260,612.5
"17053","M",220,165,205,590
"17054","F",104.33,45.36,124.74,274.42
"17055","M",280,177.5,325,782.5
"17056","M",162.5,120,187.5,470
"17057","M",172.5,107.5,227.5,507.5
"17058","M",230,150,240,620
"17059","M",350,240,270,860
"17060","M",187.5,100,215,502.5
"17061","F",165.56,77.11,138.35,381.02
"17062","M",220,162.5,210,592.5
"17063","M",162.5,122.5,215,500
"17064","M",140,77.5,140,357.5
"17065","F",70,37.5,105,212.5
"17066","M",262.5,170,235,667.5
"17067","F",172.5,80,167.5,420
"17068","M",300,185,330,815
"17069","M",345,217.5,300,862.5
"17070","F",117.5,42.5,132.5,292.5
"17071","M",165,132.5,182.5,480
"17072","M",192.5,127.5,265,585
"17073","F",142.5,87.5,180,410
"17074","F",110,52.5,110,272.5
"17075","F",137.5,70,137.5,345
"17076","M",235.87,154.22,254.01,644.1
"17077","M",250,187.5,262.5,700
"17078","M",300,285,242.5,827.5
"17079","M",147.5,112.5,185,445
"17080","M",142.5,107.5,172.5,422.5
"17081","F",132.5,82.5,160,375
"17082","M",335,205,350,890
"17083","M",130,90,130,350
"17084","M",347.5,220,347.5,915
"17085","M",260,145,270,675
"17086","F",129.27,61.23,142.88,333.39
"17087","F",95,67.5,140,302.5
"17088","M",205,150,260,615
"17089","F",50,35,65,150
"17090","M",162.5,105,185,452.5
"17091","F",100,60,100,260
"17092","M",232.5,145,272.5,650
"17093","M",177.5,105,220,502.5
"17094","M",157.5,100,197.5,455
"17095","M",140,85,140,365
"17096","M",260,160,305,725
"17097","M",165,135,195,495
"17098","M",242.5,160,290,692.5
"17099","M",260,175,277.5,712.5
"17100","F",115,62.5,150,327.5
"17101","F",90,45,97.5,232.5
"17102","M",235,185,300,720
"17103","M",227.5,150,252.5,630
"17104","M",165,110,215,490
"17105","M",20.4,127,20.4,167.8
"17106","F",132.5,77.5,165,375
"17107","F",75,40,102.5,217.5
"17108","M",115.67,63.5,136.08,315.25
"17109","M",280,182.5,292.5,755
"17110","F",137.5,70,155,362.5
"17111","F",120,80,130,330
"17112","M",210,140,250,600
"17113","M",205,117.5,210,532.5
"17114","M",330,182.5,320,832.5
"17115","M",190,165,190,545
"17116","M",200,137.5,215,552.5
"17117","F",152.5,70,157.5,380
"17118","M",205,155,235,595
"17119","M",205,147.5,245,597.5
"17120","F",117.5,62.5,170,350
"17121","M",320.5,180,330,830.5
"17122","M",220,145,230,595
"17123","M",226.8,111.13,172.37,510.29
"17124","M",162.5,112.5,190,465
"17125","F",172.5,97.5,175,445
