"","X","Name","Sex","Event","Equipment","Age","AgeClass","BirthYearClass","Division","BodyweightKg","WeightClassKg","Best3SquatKg","Best3BenchKg","Best3DeadliftKg","TotalKg","Place","Dots","Wilks","Glossbrenner","Goodlift","Tested","Country","Date"
"5661",406076,"Suzanne Salinas","F","SBD","Single-ply",17,"16-17","14-18","F-T2",55.8,"56",140,80,142.5,362.5,"1",421.18,427.72,378.36,70.43,"Yes","United States of America","2006-11-18"
"5662",63038,"Pauline Dolan","F","SBD","Wraps",61,"60-64","60-69","F_MCR_5_ABPU",81.1,"82.5",100,57.5,132.5,290,"1",271.41,263.37,230.79,55.55,"Yes","UK","2019-03-09"
"5663",158997,"Miriam Lawrence","F","SBD","Raw",50,"50-54","50-59","FR-O",59.4,"63",87.5,47.5,97.5,232.5,"1",259.38,261.24,230.85,52.93,"Yes","United States of America","2017-11-18"
"5664",627398,"Matt Kinsell","M","SBD","Raw",35,"35-39","24-39","Submasters 35-39",66.13,"67.5",165,125,187.5,477.5,"1",373.59,374.33,363.7,74.36,"no","United States of America","2010-12-11"
"5665",353714,"Barrie Scott","M","SBD","Single-ply",63.5,"60-64","60-69","M3",88,"90",155,100,195,450,"1",294.33,290.66,278.84,50.27,"Yes","England","2002-02-10"
"5666",318846,"Kiril Samofal","M","SBD","Single-ply",25.5,"24-34","24-39","Open",110.2,"120",300,192.5,265,757.5,"3",448.34,445.54,425.84,75.79,"Yes","Ukraine","2013-06-01"
"5667",117475,"Nate Salemno","M","SBD","Raw",15,"13-15","14-18","MR-T1",64.4,"66",125,85,150,360,"2",287.32,288.51,280.69,56.85,"Yes","United States of America","2013-07-19"
"5668",306750,"Sean Pua","M","SBD","Wraps",22,"20-23","19-23","MJR",58.5,"60",175,130,190,495,"1",426.69,432.17,422.63,82.28,"no","United States of America","2013-04-20"
"5669",329854,"Jade Town","F","SBD","Raw",24.5,"24-34","24-39","FR-O",62.35,"63",110,70,140,320,"2",346.35,346.38,305.9,70.48,"Yes","England","2021-07-17"
"5670",248485,"František Albert","M","SBD","Wraps",66.5,"65-69","60-69","M 65-69",66.4,"67.5",110,65,125,300,"1",234.01,234.4,227.7,46.62,"no","Slovakia","2019-04-27"
"5671",329471,"Jake Richardson","M","SBD","Raw",14.5,"13-15","14-18","M-C-U18",57.1,"59",117.5,70,140,327.5,"1",288.2,292.57,286.52,55.15,"Yes","England","2016-07-30"
"5672",450571,"Igor Makarov","M","SBD","Raw",21.5,"20-23","19-23","Open",102.45,"105",245,175,255,675,"4",411.22,406.96,388.6,84.3,"Yes","Russia","2015-10-16"
"5673",183063,"Victor Chau","M","SBD","Raw",17.5,"18-19","14-18","MR-V",85.1,"93",132.5,77.5,157.5,367.5,"7",244.69,241.78,232.31,50.24,"Yes","United States of America","2018-03-11"
"5674",165971,"Sherman Smith","M","SBD","Raw",36.5,"35-39","24-39","MR-O",91.65,"93",185,125,225,535,"14",342.82,338.46,324.13,70.49,"Yes","United States of America","2019-06-08"
"5675",20520,"Walter Blackmon","M","SBD","Single-ply",31.5,"24-34","24-39","Open",113.9,"125",192.5,187.5,205,585,"2",342.07,340.8,326.11,57.72,"Yes","United States of America","2005-10-14"
"5676",232625,"Eric Dip","M","SBD","Raw",26.5,"24-34","24-39","Open",82.7,"83",215,157.5,242.5,615,"15",416.03,411.4,395.8,85.29,"Yes","Canada","2018-11-02"
"5677",175814,"Elizabeth Segerson","F","SBD","Raw",27.5,"24-34","24-39","FR-O",79.3,"84",97.5,55,125,277.5,"4",262.63,255.17,223.89,53.67,"Yes","United States of America","2018-12-15"
"5678",227872,"Jason Lau","M","SBD","Raw",20.5,"20-23","19-23","Juniors",63.9,"66",170,120,200,490,"1",393.41,395.31,384.73,77.7,"Yes","Canada","2016-04-30"
"5679",249013,"Adina Hyková","F","SBD","Single-ply",58.5,"55-59","50-59","Masters 2",59,"60",120,80.5,142.5,342.5,"1",383.75,386.87,341.9,64.26,"Yes","Czechia","2002-06-08"
"5680",228485,"Joey Weatherill","M","SBD","Raw",20.5,"20-23","19-23","Juniors",93.2,"105",185,137.5,227.5,550,"2",349.58,345.15,330.32,71.88,"Yes","Canada","2014-05-31"
"5681",590988,"Joshua LaRe","M","SBD","Raw",20,"20-23","19-23","Open",68.5,"75",125,85,172.5,382.5,"3",291.72,291.49,282.76,58.47,"no","United States of America","2017-04-21"
"5682",234005,"Byron Monstur","M","SBD","Single-ply",45.5,"45-49","40-49","Masters 1",90.8,"100",235,127.5,232.5,595,"1",383.03,378.15,362.29,65.35,"Yes","Canada","2000-11-04"
"5683",646822,"Lenny Creatura","M","SBD","Raw",55,"55-59","50-59","Pro Masters 55-59",98.88,"100",258.55,167.83,272.16,698.53,"1",432.08,427.06,407.98,88.72,"no","United States of America","2014-01-25"
"5684",216244,"Jason Ogle","M","SBD","Raw",21.5,"20-23","19-23","MR-O",93.8,"105",177.5,100,217.5,495,"3",313.66,309.71,296.32,64.49,"Yes","United States of America","2019-11-23"
"5685",623274,"Frank Schuetz","M","SBD","Raw",40,"40-44","40-49","Masters 40-44",109.6,"110",200,182.5,265,647.5,"1",384.02,381.48,364.56,78.38,"no","United States of America","2016-04-16"
"5686",543425,"John Barber","M","SBD","Raw",41,"40-44","40-49","Masters 40-44",95.8,"100",140,112.5,170,422.5,"1",265.09,261.82,250.33,54.48,"Yes","United States of America","2021-02-20"
"5687",199290,"Logan Todd","M","SBD","Raw",20.5,"20-23","19-23","MR-Jr",89.4,"93",152.5,112.5,182.5,447.5,"2",290.33,286.66,274.82,59.69,"Yes","United States of America","2021-09-04"
"5688",332568,"Calum Nicholls","M","SBD","Raw",26.5,"24-34","24-39","M-C-Open",136.9,"120+",240,195,285,720,"1",397.09,403.72,384.35,79.19,"Yes","England","2017-05-03"
"5689",659660,"Mitch Lee #1","M","SBD","Wraps",29,"24-34","24-39","MR-O",109.6,"110",375,235,335,945,"1",560.46,556.75,532.06,114.39,"no","Australia","2019-08-24"
"5690",674293,"Bruna Bisol","F","SBD","Raw",20.5,"20-23","19-23","Juniors",62.8,"63",135,60,152.5,347.5,"2",374.47,374.1,330.35,76.18,"Yes","Brazil","2018-07-06"
"5691",647513,"Paul Sutphin","M","SBD","Multi-ply",59,"55-59","60-69","Pro Masters 55-59",89.49,"90",242.67,151.95,242.67,637.3,"1",413.26,408.03,391.16,70.54,"no","United States of America","2014-07-19"
"5692",617216,"Carolyn Mitchell","F","SBD","Raw",26,"24-34","24-39","Open",123.2,"90+",175,75,187.5,437.5,"1",348.53,348.22,294.64,74.68,"no","United States of America","2016-10-22"
"5693",516882,"Riley May","M","SBD","Wraps",17,"16-17","14-18","Juniors 16-17",80.3,"82.5",182.5,92.5,192.5,467.5,"1",321.65,318.41,306.75,65.81,"no","United States of America","2021-12-04"
"5694",220768,"Jason Rubine","M","SBD","Raw",39.5,"35-39","40-49","MR-O",119.95,"120",202.5,115,232.5,550,"5",315.91,316.24,303.04,63.95,"Yes","United States of America","2020-01-18"
"5695",422337,"Scott Bryant","M","SBD","Wraps",40,"40-44","40-49","Masters 40-44",124.74,"125",249.48,167.83,247.21,664.51,"1",376.86,378.83,362.59,75.97,"no","United States of America","2014-10-25"
"5696",357891,"Steve Peña #1","M","SBD","Single-ply",20,"20-23","19-23","Open",90,"90",157.5,152.5,165,475,"4",307.14,303.24,290.62,52.42,"Yes","United States of America","1994-10-15"
"5697",374000,"Rahul Chauhan","M","SBD","Wraps",31,"24-34","24-39","sm1",78.02,"82.5",233.5,140,245,618.5,"2",432.93,429.11,413.92,88.36,"Yes","United States of America","2019-02-23"
"5698",175476,"Miles Russell","M","SBD","Raw",27.5,"24-34","24-39","MR-O",81.5,"83",205,125,217.5,547.5,"2",373.46,369.49,355.72,76.49,"Yes","United States of America","2019-06-22"
"5699",149521,"Kimberly Hopkins","F","SBD","Raw",53.5,"50-54","50-59","FR-M2a",72.94,"84",77.5,47.5,92.5,217.5,"1",215.02,210.48,185.33,43.75,"Yes","United States of America","2020-12-13"
"5700",524688,"Gisele Betancourt","F","SBD","Raw",21,"20-23","19-23","Open",55.2,"56",115,67.5,132.5,315,"1",368.63,374.83,331.66,75.73,"Yes","United States of America","2022-01-29"
"5701",312940,"Tetyana Prymenchuk","F","SBD","Single-ply",29.5,"24-34","24-39","Open",51.55,"52",152.5,85,145,382.5,"1",469.06,480.05,425.66,78.37,"Yes","Ukraine","2002-10-18"
"5702",675819,"William Vičević","M","SBD","Raw",25,"24-34","24-39","Open",80.4,"83",195,130,222.5,547.5,"4",376.42,372.61,358.94,77.02,"Yes","Croatia","2017-12-09"
"5703",296595,"Vadim Loyko","M","SBD","Raw",22,"20-23","19-23","Juniors 20-23",82.2,"82.5",210,145,270,625,"1",424.25,419.61,403.81,86.94,"Yes","Belarus","2016-10-15"
"5704",689633,"Hans-Peter Falk","M","SBD","Single-ply",59.5,"55-59","60-69","Masters 3",111.69,"120",240,215,222.5,677.5,"1",398.99,396.89,379.51,67.4,"Yes","Germany","2011-07-05"
"5705",583181,"Paul Carroll","M","SBD","Raw",34,"24-34","24-39","Open",108.2,"110",172.5,127.5,215,515,"4",306.94,304.65,291.04,62.71,"no","United States of America","2021-08-21"
"5706",374408,"Michael Adriano","M","SBD","Wraps",22.5,"20-23","19-23","jr",89.63,"90",190,132.5,278.5,601,"2",389.42,384.48,368.55,80.06,"Yes","United States of America","2017-07-22"
"5707",742514,"Jane Freeman","F","SBD","Raw",61.5,"60-64","60-69","Masters 3",70,"72",87.5,40,102.5,230,"3",232.59,228.81,201.7,47.27,"Yes","United States of America","2016-06-19"
"5708",362365,"Bud Bower","M","SBD","Single-ply",38,"35-39","24-39","Open",82.5,"82.5",265.35,154.22,244.94,664.51,"2",450.13,445.16,428.33,77.01,"no","United States of America","1981-04-11"
"5709",47088,"Vladimir Bakaysa","M","SBD","Multi-ply",21,"20-23","19-23","Pro Juniors 20-23",72,"75",152.5,120,200,472.5,"2",348.17,346.68,335.56,59.62,"no","Russia","2006-10-21"
"5710",137552,"John Schmitten","M","SBD","Raw",28.5,"24-34","24-39","MR-O",118.1,"120",165,117.5,172.5,455,"3",262.72,262.59,251.56,53.26,"Yes","United States of America","2016-02-20"
"5711",173981,"Justin Waldorf","M","SBD","Raw",34.5,"24-34","24-39","MR-O",82.6,"83",190,120,242.5,552.5,"5",374,369.86,355.85,76.67,"Yes","United States of America","2017-05-27"
"5712",605067,"Nicholas Williams","M","SBD","Raw",32,"24-34","24-39","Open",83.8,"90",197.5,125,217.5,540,"1",362.6,358.42,344.63,74.39,"no","United States of America","2016-09-24"
"5713",477286,"Irina Solovyeva","F","SBD","Raw",20.5,"20-23","19-23","Open",71.8,"72",110,60,125,295,"1",294.15,288.47,254.11,59.82,"Yes","Russia","2017-04-29"
"5714",79471,"Jorge Diaz","M","SBD","Raw",22.5,"20-23","19-23","MR-O",85.73,"93",250,162.5,295,707.5,"31",469.2,463.54,445.23,96.36,"Yes","United States of America","2019-10-16"
"5715",473587,"Aleksey Markov","M","SBD","Raw",19.5,"20-23","19-23","Open",65.6,"66",160,110,185,455,"3",358.12,359.06,349,71.16,"Yes","Russia","2011-05-28"
"5716",63161,"Sibghat Ullah","M","SBD","Raw",41,"40-44","40-49","M_MR_1_ABPU",74.45,"75",170,100,205,475,"1",342.39,340.21,328.83,69.52,"Yes","UK","2020-02-15"
"5717",440503,"Svetlana Shaburkina","F","SBD","Single-ply",38.5,"35-39","24-39","Open",62.8,"63",125,77.5,155,357.5,"1",385.24,384.87,339.86,64.66,"Yes","Russia","2016-04-21"
"5718",276664,"Ilona van Gameren","F","SBD","Raw",34,"24-34","24-39","Open",74.7,"75",102.5,50,115,267.5,"1",261.09,254.94,224.29,53.18,"no","Netherlands","2022-11-13"
"5719",403132,"Pascal Tripp","M","SBD","Raw",25,"24-34","24-39","Open",103.3,"105",205,137.5,250,592.5,"17",359.72,356.13,340.05,73.71,"Yes","Germany","2019-03-29"
"5720",403499,"Kade Weber","M","SBD","Raw",25,"24-34","24-39","M-HW",123,"125",330,240,360,930,"2",529.8,531.74,509.37,106.96,"no","Canada","2015-02-07"
"5721",443867,"Igor Bukhranov","M","SBD","Single-ply",18.5,"18-19","19-23","Open",71,"75",220,142.5,190,552.5,"13",410.99,409.61,396.71,70.36,"Yes","Russia","2007-10-03"
"5722",147883,"William Lyman","M","SBD","Single-ply",20,"20-23","19-23","M-Jr",97.8,"100",260,172.5,225,657.5,"1",408.68,403.82,385.87,69.51,"Yes","United States of America","2022-08-06"
"5723",306870,"Heather Sullivan","F","SBD","Raw",43,"40-44","40-49","FORE",58.7,"60",62.5,45,105,212.5,"2",238.87,240.98,212.98,48.78,"no","United States of America","2019-04-06"
"5724",591834,"Mark Doronio","M","SBD","Raw",34,"24-34","24-39","Open",78.5,"82.5",185,127.5,232.5,545,"3",380.07,376.61,363.18,77.61,"Yes","United States of America","2022-01-22"
"5725",398406,"Sven Mitländer","M","SBD","Raw",23.5,"24-34","24-39","Open",81.6,"83",170,127.5,185,482.5,"10",328.89,325.38,313.24,67.37,"Yes","Germany","2019-09-22"
"5726",354585,"David Lewandowski","M","SBD","Single-ply",31.5,"24-34","24-39","Natural",90,"90",262.5,147.5,275,685,"1",442.92,437.3,419.11,75.59,"no","United States of America","1995-04-22"
"5727",24511,"Irma Terblanche","F","SBD","Raw",43.5,"40-44","40-49","Masters 1",62.7,"63",70,45,100,215,"5",231.91,231.74,204.64,47.18,"Yes","South Africa","2016-03-17"
"5728",155241,"Jenny Wang","F","SBD","Raw",19.5,"20-23","19-23","FR-C",50.52,"52",105,81,122.5,308.5,"5",383.72,393.21,348.97,79.89,"Yes","United States of America","2022-03-26"
"5729",328776,"Tania Robins","F","SBD","Raw",35.5,"35-39","24-39","F-C-Open",50.4,"52",85,55,90,230,"1",286.57,293.68,260.67,59.69,"Yes","England","2019-03-24"
"5730",132612,"Savana Armijo","F","SBD","Raw",28.5,"24-34","24-39","FR-O",47.8,"52",72.5,47.5,115,235,"2",304.18,312.19,277.96,64.07,"Yes","United States of America","2018-04-28"
"5731",530010,"Rachel Massey","F","SBD","Raw",33,"24-34","24-39","Open",66,"67.5",70,62.5,105,237.5,"3",248.42,246.38,217.42,50.48,"Yes","United States of America","2020-02-29"
"5732",190441,"Leslie Shing","F","SBD","Raw",29.5,"24-34","24-39","FR-O",62,"63",115,57.5,152.5,325,"3",352.98,353.31,312.04,71.85,"Yes","United States of America","2018-03-03"
"5733",208176,"Isabella Steiner","F","SBD","Raw",20.5,"20-23","19-23","FR-Jr",80.85,"82.5",197.5,100,200,497.5,"1",466.32,452.58,396.66,95.42,"Yes","United States of America","2023-03-25"
"5734",522285,"Carol Smolsky","F","SBD","Raw",59,"55-59","50-59","Masters 55-59",58.9,"60",92.5,47.5,115,255,"1",286.02,288.41,254.89,58.4,"no","United States of America","2018-11-03"
"5735",607822,"Josh Novak","M","SBD","Raw",17,"16-17","14-18","Juniors 16-17",86.5,"90",152.5,107.5,207.5,467.5,"3",308.56,304.78,292.62,63.39,"no","United States of America","2018-04-14"
"5736",651129,"Janie Soehl","F","SBD","Raw",28.5,"24-34","24-39","Amateur Open",83.64,"90",131.54,74.84,165.56,371.95,"1",342.95,332.4,290.68,70.36,"Yes","United States of America","2017-06-24"
"5737",675555,"Lea Žunić","F","SBD","Raw",22.5,"20-23","19-23","Juniors",56.9,"57",105,67.5,153,325.5,"1",373.35,378.23,334.45,76.45,"Yes","Croatia","2022-05-28"
"5738",675117,"Jeremy McIlroy","M","SBD","Wraps",38,"35-39","24-39","Open",88.5,"95",255,160,280,695,"3",453.25,447.56,429.26,93.17,"no","New Zealand","2019-10-26"
"5739",207801,"Joe Stage","M","SBD","Raw",20.5,"20-23","19-23","MR-Jr",92.85,"93",212.5,147.5,250,610,"3",388.41,383.49,367.06,79.86,"Yes","United States of America","2018-03-17"
"5740",229452,"Logan Vessey","M","SBD","Raw",21.5,"20-23","19-23","Juniors",103.1,"105",235,142.5,280,657.5,"7",399.5,395.48,377.63,81.87,"Yes","Canada","2019-03-04"
"5741",528411,"Matthew Shen","M","SBD","Raw",22,"20-23","19-23","Juniors 20-23",82,"82.5",197.5,142.5,305,645,"6",438.43,433.67,417.39,89.83,"Yes","United States of America","2022-05-27"
"5742",252571,"Kamil Večeřa","M","SBD","Single-ply",27.5,"24-34","24-39","Open",77,"82.5",225,180,247.5,652.5,"2",460.44,456.67,440.75,78.84,"Yes","Czechia","2006-01-01"
"5743",316965,"Oleksandr Pronin","M","SBD","Raw",34.5,"24-34","24-39","Open",130.85,"120+",250,205,300,755,"1",421.93,426.53,407.29,84.59,"Yes","Ukraine","2013-03-03"
"5744",81824,"Joseph Songco","M","SBD","Raw",25.5,"24-34","24-39","MR-O",63.1,"66",62.5,77.5,122.5,262.5,"1",212.82,214.08,208.48,41.91,"Yes","United States of America","2017-09-30"
"5745",582011,"Devon Parcell","M","SBD","Raw",35,"35-39","24-39","Submasters 35-39",88.81,"90",182.5,145,220,547.5,"1",356.42,351.93,337.48,73.27,"no","United States of America","2014-05-17"
"5746",493539,"Nikolay Nikiforov","M","SBD","Single-ply",59.5,"55-59","60-69","Masters 3",78.2,"83",230,160,230,620,"2",433.38,429.5,414.26,74.2,"Yes","Russia","2015-04-01"
"5747",143828,"Delaney Mendoza","F","SBD","Raw",19.5,"20-23","19-23","FR-C",49.1,"52",62.5,37.5,90,190,"1",241.19,247.44,219.93,50.5,"Yes","United States of America","2022-10-22"
"5748",119628,"Quinlin Hopperstad","F","SBD","Raw",26.5,"24-34","24-39","FR-O",73.18,"75",92.5,42.5,145,280,"3",276.32,270.39,238.05,56.23,"Yes","United States of America","2022-07-23"
"5749",222864,"Irina Kostik","F","SBD","Wraps",23.5,"24-34","24-39","O",59.14,"60",77.5,35,75,187.5,"5",209.76,211.4,186.82,42.81,"Yes","Ukraine","2015-03-28"
"5750",451691,"Olga Savritskaya","F","SBD","Single-ply",35,"35-39","24-39","Open",55.5,"57",120,75,122.5,317.5,"1",370.22,376.21,332.83,61.9,"Yes","Russia","2015-04-18"
"5751",482211,"Nikita Kolesnikov","M","SBD","Single-ply",15.5,"16-17","14-18","Sub-Juniors",52.35,"53",170,80,175,425,"4",404.49,414.13,407.68,68.18,"Yes","Russia","2012-03-21"
"5752",584037,"Allison Scrivo","F","SBD","Raw",25,"24-34","24-39","Open",66.68,"67.5",97.5,65,137.5,300,"1",311.92,308.9,272.55,63.38,"no","United States of America","2014-11-15"
"5753",355124,"Markus Antoni","M","SBD","Multi-ply",30.5,"24-34","24-39","M_OEM_WPC",82.5,"82.5",200,190,230,620,"1",419.98,415.34,399.64,71.85,"no","Germany","2002-04-06"
"5754",662905,"Sarah Herrera","F","SBD","Raw",20,"20-23","19-23","R JR",67.5,"67.5",65,35,75,175,"1",180.67,178.61,157.56,36.71,"Yes","United States of America","2017-05-20"
"5755",384400,"Seiichi Mashimo","M","SBD","Single-ply",58.5,"55-59","50-59","Masters 2",59.45,"60",170,100,180,450,"1",382.71,387.05,378.15,65.13,"Yes","Japan","2006-05-02"
"5756",582853,"Robert Corallo","M","SBD","Raw",24,"24-34","24-39","Open",87.2,"90",190,112.5,242.5,545,"3",358.18,353.75,339.51,73.6,"Yes","United States of America","2022-04-30"
"5757",739086,"Isabell Adolfsen","F","SBD","Raw",19.5,"20-23","19-23","Juniors",70.55,"72",145,92.5,187.5,425,"8",427.91,420.54,370.64,86.99,"Yes","Norway","2019-06-04"
"5758",732968,"Clark Arlington","M","SBD","Single-ply",25.5,"24-34","24-39","Open",67.1,"67.5",245,155,242.5,642.5,"12",497.34,497.75,483.29,85.06,"Yes","Bahamas","1996-12-14"
"5759",94114,"Abby Pust","F","SBD","Raw",20.5,"20-23","19-23","FR-TJ",60.2,"63",87.5,42.5,115,245,"11",271.02,272.44,240.71,55.25,"Yes","United States of America","2017-11-05"
"5760",647633,"Brian Kurtz","M","SBD","Wraps",36,"35-39","24-39","Pro Submasters 33-39",97.79,"100",226.8,183.7,233.6,644.1,"1",400.37,395.61,378.02,82.24,"no","United States of America","2020-07-25"
"5761",580384,"Yasmin Siguenza","F","SBD","Raw",30,"24-34","24-39","Open",71.1,"75",70,57.5,110,237.5,"5",238.1,233.77,205.99,48.41,"no","United States of America","2015-04-18"
"5762",300327,"Maksim Balabaev","M","SBD","Wraps",17,"16-17","14-18","Teen 16-17",88.25,"90",165,102.5,175,442.5,"1",289,285.38,273.75,59.4,"Yes","Russia","2018-06-09"
"5763",385393,"Peter Edward Torres","M","SBD","Single-ply",45,"45-49","40-49","Masters 1",93,"100",262.5,150,245,657.5,"1",418.34,413.03,395.32,71.3,"Yes","Philippines","2010-05-01"
"5764",605040,"Dayle Longford","M","SBD","Single-ply",27,"24-34","24-39","Open",89.2,"90",305,230,315,850,"1",552.1,545.13,522.65,94.25,"no","Wales","2015-09-18"
"5765",461015,"Sergey Skochek","M","SBD","Single-ply",22.5,"20-23","19-23","Open",59.9,"60",260,170,242.5,672.5,"3",568.4,574.43,560.99,96.77,"Yes","Russia","2006-02-28"
"5766",507966,"Austin Welch","M","SBD","Raw",15,"13-15","14-18","Teen 13-15",106.59,"110",142.88,90.72,183.7,417.3,"1",250.17,248.08,236.93,51.16,"Yes","United States of America","2020-01-19"
"5767",270400,"Catrina Garcia","F","SBD","Single-ply",17.5,"18-19","14-18","Girls",50.17,"51.9",129.27,56.7,124.74,310.71,"1",388.38,398.12,353.45,64.89,"Yes","United States of America","2015-02-14"
"5768",611894,"Mitch Foster","M","SBD","Wraps",30,"24-34","24-39","Open",99.6,"100",240,150,247.5,637.5,"2",393.07,388.6,371.18,80.69,"no","United States of America","2019-05-25"
"5769",484015,"Ekaterina Kruk","F","SBD","Single-ply",15.5,"16-17","14-18","Sub-Juniors",47,"47",122.5,57.5,100,280,"1",366.96,376.57,335.69,61.35,"Yes","Russia","2017-11-30"
"5770",566061,"Jordan Long","M","SBD","Raw",30,"24-34","24-39","Open",89.8,"90",180,115,212.5,507.5,"2",328.52,324.35,310.89,67.54,"Yes","United States of America","2022-08-06"
"5771",599146,"Donny Tudahl","M","SBD","Raw",23,"20-23","19-23","Juniors 20-23",107.73,"110",270,195,287.5,752.5,"1",449.25,445.77,425.82,91.81,"no","United States of America","2014-10-04"
"5772",391757,"Rolf Olsen","M","SBD","Single-ply",41.5,"40-44","40-49","Masters 1",82.5,"82.5",235,145,265,645,"1",436.92,432.09,415.76,74.75,"Yes","Norway","2003-04-26"
"5773",709427,"Artem Kornev #1","M","SBD","Wraps",16.5,"16-17","14-18","T2",65.9,"67.5",150,82.5,140,372.5,"2",292.19,292.85,284.59,58.11,"Yes","Ukraine","2008-04-05"
"5774",198653,"Craig Yarnall","M","SBD","Raw",46,"45-49","40-49","MR-M1",66,"66",182.5,125,220,527.5,"1",413.31,414.19,402.47,82.23,"Yes","United States of America","2017-06-03"
"5775",700293,"Ashley Butler #1","M","SBD","Raw",22.5,"20-23","19-23","Juniors",118.85,"120",307.5,190,327.5,825,"3",475.33,475.39,455.49,96.31,"Yes","Wales","2021-12-03"
"5776",445359,"Dina Klimenkova","F","SBD","Single-ply",24.5,"24-34","24-39","Open",46.8,"47",165,100,160,425,"3",558.75,573.34,511.26,93.43,"Yes","Russia","2012-02-24"
"5777",526988,"Ricardo Trejo","M","SBD","Raw",19,"18-19","19-23","Juniors 18-19",89.2,"90",220,147.5,245,612.5,"2",397.84,392.81,376.62,81.79,"Yes","United States of America","2021-05-16"
"5778",168810,"Eric Cordeiro","M","SBD","Single-ply",41,"40-44","40-49","M-M1a",82.3,"83",265,160,230,655,"2",444.3,439.43,422.86,76.01,"Yes","United States of America","2016-05-20"
"5779",187961,"Victoria Gorski","F","SBD","Single-ply",15.5,"16-17","14-18","F-HS",82.9,"90",120,47.5,155,322.5,"21",298.62,289.51,253.34,50.99,"Yes","United States of America","2017-03-11"
"5780",460845,"Dmitriy Zaychenko","M","SBD","Single-ply",44.5,"40-44","40-49","Masters 1",92,"93",210,147.5,245,602.5,"1",385.35,380.45,364.29,65.71,"Yes","Russia","2015-11-05"
"5781",193337,"Nazaret Rptchian","M","SBD","Raw",24.5,"24-34","24-39","MR-O",102.5,"105",152.5,130,227.5,510,"7",310.63,307.43,293.55,63.68,"Yes","United States of America","2016-12-17"
"5782",471726,"Aleksey Kharchev","M","SBD","Single-ply",30,"24-34","24-39","Open",108,"110",330,200,300,830,"10",495.03,491.28,469.32,83.77,"Yes","Russia","2006-09-19"
"5783",537101,"Presley Pritchard","F","SBD","Raw",26,"24-34","24-39","Open",77.8,"82.5",127.5,62.5,137.5,327.5,"2",312.96,304.48,267.42,63.88,"no","United States of America","2019-06-22"
"5784",619324,"Ben Weldon","M","SBD","Wraps",26,"24-34","24-39","Open",159.6,"140+",295,205,272.5,772.5,"2",408.65,423.65,397.7,80.14,"no","United States of America","2016-01-09"
"5785",17340,"Olivia Kyösti","F","SBD","Raw",18.5,"18-19","19-23","Open",51.9,"52",112.5,62.5,120,295,"5",360.06,368.31,326.49,74.61,"Yes","Finland","2018-03-16"
"5786",655558,"Pavel Silivonchik","M","SBD","Raw",19.5,"20-23","19-23","Open",65.5,"66",95,75,120,290,"5",228.51,229.14,222.74,45.39,"Yes","Belarus","2014-05-16"
"5787",719436,"Paul Herrera","M","SBD","Single-ply",18.5,"18-19","19-23","Boys",59.15,"59.8",145.15,86.18,170.1,401.43,"1",342.84,346.89,339.02,58.33,"Yes","United States of America","2021-01-23"
"5788",725833,"Samuel Grodman","M","SBD","Single-ply",16.5,"16-17","14-18","Boys",93.76,"99.7",151.95,90.72,142.88,385.55,"9",244.35,241.27,230.85,41.64,"Yes","United States of America","2017-02-23"
"5789",502156,"Valdur Paavilainen","M","SBD","Raw",54,"50-54","50-59","M-M3",132,"145",210,120,200,530,"1",295.42,298.96,285.32,59.17,"Yes","Estonia","2009-06-27"
"5790",3530,"Anatolii Rubin","M","SBD","Wraps",33,"24-34","24-39","Amateur Submasters 33-39",181.5,"140+",160,110,130,400,"1",204.72,214.99,201.2,39.72,"no","Ukraine","2017-05-18"
"5791",440103,"Nikolay Gorkov","M","SBD","Single-ply",15.5,"16-17","14-18","Sub-Juniors",66,"66",102.5,67.5,125,295,"4",231.14,231.63,225.08,39.51,"Yes","Russia","2012-11-26"
"5792",355960,"Scott Waits","M","SBD","Single-ply",28,"24-34","24-39","Open",90,"90",305,185,275,765,"1",494.65,488.37,468.06,84.42,"no","United States of America","1993-10-09"
"5793",368080,"Stan Chatis","M","SBD","Single-ply",59,"55-59","50-59","Masters 4",110,"110",240,135,250,625,"1",370.17,367.81,351.53,62.58,"Yes","United States of America","1996-08-24"
"5794",651395,"Kelli Thomson","F","SBD","Raw",27,"24-34","24-39","Pro Open",95.71,"100",165.56,104.33,201.85,471.74,"1",409.68,398.25,343.94,85.19,"no","United States of America","2018-02-18"
"5795",118974,"Amy Zhu","F","SBD","Raw",22.5,"20-23","19-23","FR-Jr",56.5,"57",112.5,60,117.5,290,"1",334.18,338.85,299.67,68.48,"Yes","United States of America","2018-05-19"
"5796",391707,"Johnny Persson","M","SBD","Single-ply",25.5,"24-34","24-39","Open",82.5,"82.5",260,190,300,750,"2",508.04,502.43,483.44,86.91,"Yes","Sweden","1981-09-11"
"5797",730253,"Andrey Ladeyschikov","M","SBD","Wraps",30,"24-34","24-39","Pro Open",98.1,"100",207.5,135,245,587.5,"1",364.67,360.36,344.32,74.9,"no","Russia","2015-04-05"
"5798",256767,"Aziz Farooqi","M","SBD","Raw",20.5,"20-23","19-23","Student",59,"59",175,95,187.5,457.5,"2",391.56,396.27,387.33,75.7,"Yes","Japan","2019-06-30"
